run,model,strategy,tp,dp,a2a,workload,conc,prompts,in,out,tok/s,req/s,ttft_mean,ttft_p99,itl_mean,itl_p99,e2e_mean,e2e_p99,gpus,mem_before_mb,mem_after_mb,util_before,util_after
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,balanced,1,20,1024,512,35.12,0.07,104.57,112.11,28.32,30.02,28.32,28.82,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,balanced,4,20,1024,512,140.83,0.28,92.8,114.17,28.27,30.72,28.27,28.51,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,balanced,8,20,1024,512,226.43,0.44,107.03,131.44,29.52,32.17,29.52,30.2,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,balanced,16,20,1024,512,332.02,0.65,136.95,160.38,31.09,33.31,31.09,31.91,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,balanced,32,20,1024,512,609.63,1.19,178.98,187.17,32.51,34.04,32.51,32.58,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,balanced,64,20,1024,512,608.51,1.19,201,210.63,32.52,34.17,32.52,32.58,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,balanced,128,20,1024,512,610.01,1.19,176.89,189.17,32.49,33.97,32.49,32.58,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,decode_heavy,1,100,128,128,35.82,0.28,59.39,582.9,27.67,29.67,27.67,29.12,2,74711,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,decode_heavy,4,100,128,128,138.72,1.08,140.16,1067.78,27.95,29.35,27.95,28.22,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,decode_heavy,8,100,128,128,256.52,2,133.73,781.34,29.2,31.29,29.2,31.89,2,74719,74719,0,0
